,Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
0,(2023 MD),2023-Jun-25 01:45 ± < 00:01,0.01784,0.01781,4.12,4.08,25.6,33,0
1,(2023 MF1),2023-Jun-25 19:23 ± < 00:01,0.01289,0.01281,17.77,17.76,24.8,47,0
2,(2023 MU2),2023-Jun-25 23:19 ± < 00:01,0.00145,0.00145,4.52,4.09,29.1,6,0
3,(2023 ME1),2023-Jun-26 04:18 ± < 00:01,0.03265,0.03211,12.13,12.13,25.5,34,0
4,(2023 MH4),2023-Jun-27 00:30 ±    00:01,0.00693,0.00691,12.67,12.64,27.0,17,0
5,(2023 MS2),2023-Jun-27 06:05 ± < 00:01,0.02544,0.02535,11.08,11.07,25.0,43,0
6,(2023 MO2),2023-Jun-27 18:44 ± < 00:01,0.03748,0.03715,12.88,12.88,24.6,50,0
7,(2023 MG4),2023-Jun-28 07:33 ±    00:03,0.03209,0.03178,12.41,12.4,25.1,40,0
8,(2013 WV44),2023-Jun-28 09:07 ± < 00:01,0.02334,0.02334,11.81,11.8,22.9,115,1
9,(2023 MN1),2023-Jun-29 08:54 ±    00:01,0.02437,0.02427,14.99,14.98,25.0,43,0
10,(2023 MR1),2023-Jun-29 13:59 ± < 00:01,0.01528,0.01522,12.09,12.07,23.8,73,1
11,(2023 MX2),2023-Jun-29 16:02 ±    00:01,0.00303,0.00302,4.29,4.08,28.3,9,0
12,(2022 MM1),2023-Jun-29 20:12 ± < 00:01,0.02515,0.02515,9.75,9.74,24.7,50,0
13,(2023 LG2),2023-Jul-01 02:04 ±    00:01,0.0146,0.01458,2.76,2.69,25.7,31,0
14,(2020 NC),2023-Jul-02 17:56 ±    07:43,0.03547,0.02764,7.74,7.73,22.3,151,1
15,(2023 MT1),2023-Jul-03 22:14 ±    00:17,0.00737,0.00735,5.21,5.14,27.0,17,0
16,(2023 HO6),2023-Jul-05 21:59 ± < 00:01,0.01368,0.01367,7.77,7.74,21.0,275,2
17,(2023 ME4),2023-Jul-06 10:00 ±    00:21,0.00759,0.00756,10.67,10.64,25.2,39,1
18,(2023 LH2),2023-Jul-06 18:19 ±    00:04,0.04812,0.04782,7.93,7.92,25.0,43,0
19,(2019 LH5),2023-Jul-07 04:11 ± < 00:01,0.0382,0.0382,21.65,21.65,20.5,340,1
20,(2018 NW),2023-Jul-10 05:48 ± 6_03:03,0.0462,0.00074,21.82,21.81,27.8,11,0
21,(2023 LN1),2023-Jul-10 15:03 ±    00:04,0.0459,0.04546,5.8,5.79,23.7,79,0
22,(2023 MD2),2023-Jul-11 05:55 ±    00:04,0.01431,0.01431,8.43,8.41,24.4,58,1
23,(2023 MQ1),2023-Jul-11 16:46 ±    00:20,0.02749,0.02702,5.96,5.95,24.3,60,0
24,(2018 UY),2023-Jul-12 15:58 ± < 00:01,0.01904,0.01904,16.38,16.37,20.8,295,2
25,(2020 UQ3),2023-Jul-18 15:32 ± < 00:01,0.00813,0.00813,9.27,9.24,23.9,72,1
26,(2022 GX2),2023-Jul-20 05:56 ±    03:58,0.03059,0.02974,9.39,9.38,29.3,5,0
27,(2020 OM),2023-Jul-20 17:17 ± 1_22:09,0.02169,0.02044,9.48,9.47,27.0,17,0
28,(2023 MM3),2023-Jul-22 15:01 ±    00:07,0.04894,0.04883,6.38,6.37,24.7,49,0
29,(2015 MA54),2023-Jul-24 10:30 ± 9_18:54,0.04261,0.042,9.2,9.2,25.3,37,0
30,(2018 BG5),2023-Jul-27 17:46 ± 2_09:14,0.02751,0.0268,8.35,8.34,24.0,68,0
31,(2020 PP1),2023-Jul-29 18:08 ± < 00:01,0.04363,0.04363,4.07,4.05,26.6,20,0
32,(2021 BD3),2023-Jul-30 14:38 ±    09:51,0.0358,0.02891,8.5,8.49,25.7,30,0
33,(2016 AW65),2023-Jul-31 19:29 ±    09:38,0.04261,0.03447,5.71,5.7,24.1,65,0
34,(2020 PN1),2023-Aug-03 13:02 ± < 00:01,0.02776,0.02776,4.84,4.82,25.4,35,0
35,620082 (2014 QL433),2023-Aug-04 10:05 ± < 00:01,0.03575,0.03575,20.62,20.62,19.9,455,1
36,(2004 KG1),2023-Aug-06 22:31 ± 1_10:53,0.04787,0.03586,9.19,9.18,24.1,65,0
37,(2022 BS2),2023-Aug-11 20:11 ±    05:05,0.04434,0.04182,8.22,8.21,25.4,37,0
38,(2022 CP1),2023-Aug-17 07:27 ±    02:25,0.03523,0.0337,9.82,9.81,27.4,14,0
39,(2011 QJ21),2023-Aug-19 09:40 ± 5_07:17,0.03316,0.03221,15.05,15.05,24.5,54,0
40,6037 (1988 EG),2023-Aug-23 08:19 ± < 00:01,0.04065,0.04065,14.25,14.25,19.0,680,2
41,(2012 PZ17),2023-Aug-30 21:46 ± 2_22:04,0.043,0.03716,3.58,3.56,26.7,19,0
42,(2017 BY32),2023-Sep-02 01:50 ± 3_05:16,0.04207,0.03552,3.46,3.44,26.3,24,0
43,(2021 JA5),2023-Sep-06 21:32 ± 7_13:03,0.03415,0.03388,10.85,10.85,26.4,22,0
44,(2020 GE),2023-Sep-08 12:56 ±    00:13,0.03826,0.03826,1.45,1.4,28.2,10,0
45,(2020 RT2),2023-Sep-12 06:29 ± 1_07:53,0.02814,0.01289,10.03,10.02,28.2,9,0
46,(2016 LY48),2023-Sep-16 08:31 ± < 00:01,0.01288,0.01287,10.83,10.81,22.8,122,1
47,(2010 TE),2023-Sep-16 20:31 ± 3_01:18,0.01728,0.01673,5.96,5.93,26.0,27,0
48,(2019 SF6),2023-Sep-26 18:54 ± < 00:01,0.0428,0.0428,8.61,8.61,26.2,24,0
49,(2013 TG6),2023-Sep-28 21:33 ±    16:34,0.00913,0.00895,4.15,4.08,26.6,20,0
50,(2009 UG),2023-Sep-30 13:26 ± < 00:01,0.0157,0.0157,9.0,8.99,23.3,94,1
51,349507 (2008 QY),2023-Oct-03 20:39 ± < 00:01,0.04228,0.04228,20.96,20.96,18.6,260,2
52,(2022 TD),2023-Oct-07 00:17 ±    00:33,0.02284,0.02192,9.4,9.39,27.8,12,0
53,(2018 ER1),2023-Oct-08 14:00 ±    00:42,0.03205,0.03165,5.29,5.28,25.6,32,0
54,(2022 UX1),2023-Oct-11 13:53 ±    04:47,0.00801,0.00492,8.58,8.54,28.0,10,0
55,(2015 KW120),2023-Oct-12 02:52 ±    00:55,0.0466,0.04652,13.04,13.03,26.0,27,0
56,(2021 NT14),2023-Oct-13 17:10 ± < 00:01,0.04764,0.04764,8.58,8.57,20.8,305,1
57,(2011 GA),2023-Oct-15 07:09 ± < 00:01,0.01743,0.01742,16.59,16.59,20.9,280,2
58,(2007 SQ6),2023-Oct-15 23:24 ±    00:10,0.04953,0.04932,6.45,6.44,22.1,160,1
59,(2019 UZ3),2023-Oct-16 13:53 ± 7_11:48,0.02456,0.01798,8.31,8.3,27.0,17,0
60,(1998 HH49),2023-Oct-17 00:33 ± < 00:01,0.00784,0.00784,14.79,14.76,21.3,230,2
61,(2022 UO10),2023-Oct-19 00:38 ±    02:42,0.01984,0.01776,9.77,9.75,26.8,19,0
62,(2020 UR),2023-Oct-20 03:58 ± 5_17:43,0.01491,0.00911,12.91,12.9,27.9,11,0
63,(2020 FM6),2023-Oct-23 14:45 ±    10:46,0.03959,0.03188,15.86,15.86,21.9,180,1
